"ID задачи","Проект","Теги","Заголовок","Заявитель","Создана","Обновлена","Завершенная","Priority","Type","State","Assignee","Sprints","Environment","Story points","Описание","Голоса"
"G2S-129","Group 2S","Star","Crash: при нажатие на Refresh","sergey kazakov","4 Dec 2023 12:39","4 Dec 2023 16:46",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Windows 11 Домашняя версия 22Н2  Android Studio Build #AI-231.9392.1.2311.11076708, built on November 9, 202. Pixel 7 Pro Android 13 1440x3120 560 dpi",,"**Шаги по воспроизведению:**

1. Открыть приложение TO-DO-MVP

2. Тапнуть на ""Action menu""

   ![](кебаб меню.png)

3. Тапнуть на ""Refresh""

   ![](рефрещ.png)

   **ОР: Приложение обновится**

   **ФР: Приложение вылетает**

   **Логи:**[краш 1.txt](%D0%BA%D1%80%D0%B0%D1%88%201.txt)","0"
"G2S-128","Group 2S","Star","Mobile App Testing -Sergey Kazakov","sergey kazakov","4 Dec 2023 12:26","4 Dec 2023 13:50",,"Normal","Task","Open","Unassigned","Unscheduled","No environment",,,"0"
"G2S-135","Group 2S","Star","Сброс данных при перезапуске приложения","sergey kazakov","4 Dec 2023 13:50","4 Dec 2023 13:50",,"Critical","Bug","Open","Unassigned","Unscheduled","Windows 11 Домашняя версия 22Н2  Android Studio Build #AI-231.9392.1.2311.11076708, built on November 9, 202. Pixel 7 Pro Android 13 1440x3120 560 dpi",,"**Pre-conditions: Создать несколько задач**

**Шаги по воспроизведению:**

1. Открыть приложение TO-DO-MVP
2. Закрыть приложение TO-DO-MVP

   3.Открыть приложение TO-DO-MVP

**ФР**\: Все задачи удалены

**ОР**\: Задачи которые были до выхода отображаются






","0"
"G2S-134","Group 2S","Star","Статистика: Неправильное отображение информации","sergey kazakov","4 Dec 2023 13:40","4 Dec 2023 13:40",,"Major","Bug","Open","Unassigned","Unscheduled","Windows 11 Домашняя версия 22Н2  Android Studio Build #AI-231.9392.1.2311.11076708, built on November 9, 202. Pixel 7 Pro Android 13 1440x3120 560 dpi",,"**Pre-conditions: Создать несколько задач, и отметить несколько завершенными**

**Шаги по воспроизведению:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть на боковое меню

   ![](Боковое.png)
3. Тапнуть на ""Statistics""

   ![](статистика.png)

   **ФР: Отображает неверную информацию**

   ![](статистика 2.png)

   **ОР: Статистика отображается верно(Active tasks 2, completed tasks 2)**","0"
"G2S-133","Group 2S","Star","Clear completed: Не работает функция","sergey kazakov","4 Dec 2023 13:30","4 Dec 2023 13:30",,"Major","Bug","Open","Unassigned","Unscheduled","Windows 11 Домашняя версия 22Н2  Android Studio Build #AI-231.9392.1.2311.11076708, built on November 9, 202. Pixel 7 Pro Android 13 1440x3120 560 dpi",,"**Pre-conditions: Создать несколько задач, и отметить несколько завершенными**

**Шаги по воспроизведению:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть на ""action menu""

   ![](кебаб меню.png)
3. Тапнуть на  ""Clear completed""

   ![](Удаление.png)

   **ОР: Завершенные задачи удалились**

   **ФР: Завершенные задачи не удалились**","0"
"G2S-132","Group 2S","Star","Фильтр: Не показывает только активные задачи","sergey kazakov","4 Dec 2023 13:23","4 Dec 2023 13:23",,"Normal","Bug","Open","Unassigned","Unscheduled","Windows 11 Домашняя версия 22Н2  Android Studio Build #AI-231.9392.1.2311.11076708, built on November 9, 202. Pixel 7 Pro Android 13 1440x3120 560 dpi",,"**Pre-conditions: Создать несколько задач, и отметить несколько завершенными**

**Шаги по воспроизведению:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть на фильтры

   ![](фильтр.png)
3. Выбрать ""Active""

   **ОР: Отображаются только активные задачи**

   **ФР: Отображаются все задачи**


","0"
"G2S-131","Group 2S","Star","Crash: при создание новой задачи с содержанием спецсимволов","sergey kazakov","4 Dec 2023 12:57","4 Dec 2023 12:57",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Windows 11 Домашняя версия 22Н2  Android Studio Build #AI-231.9392.1.2311.11076708, built on November 9, 202. Pixel 7 Pro Android 13 1440x3120 560 dpi",,"**Шаги по воспроизведению:**

1. Открыть приложениее TO-DO-MVP
2. Тапнуть на элемент ""+""

   ![](плюс.png)
3. В поле ""Title"" ввести !@# и нажать на ""галочку""

   ![](баг 3.png)

   **ОР: Новая задача успешно создана**

   **ФР: Задача не создана, приложение вылетает**

   **Логи:**[краш 3.txt](краш 3.txt)

   
","0"
"G2S-130","Group 2S","Star","Crash:при создание новой задачи при вводе цифр","sergey kazakov","4 Dec 2023 12:49","4 Dec 2023 12:49",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Windows 11 Домашняя версия 22Н2  Android Studio Build #AI-231.9392.1.2311.11076708, built on November 9, 202. Pixel 7 Pro Android 13 1440x3120 560 dpi",,"**Шаги по воспроизведению:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть на элемент ""+""

   ![](плюс.png)
3. В поле ""Title"" ввести 123 и тапнуть ""галочку""

   ![](баг 2.png)

   **ОР: Новая задача успешно создана**

   **ФР: Задача не создана, приложение вылетает**

   **Логи:**[краш 2.txt](краш 2.txt)","0"
"G2S-87","Group 2S","Star","Web App Testing - Sergey Kazakov","sergey kazakov","4 Nov 2023 14:48","4 Nov 2023 16:59",,"Normal","Task","Open","Unassigned","Unscheduled","No environment",,,"0"
"G2S-93","Group 2S","Star","Коррекция цены: после смены конфигурации цена не изменяется","sergey kazakov","4 Nov 2023 16:59","4 Nov 2023 16:59",,"Major","Bug","Open","Unassigned","Unscheduled","""Windows 11 Домашняя версия 22Н2 Google Chrome Версия 114.0.5735.199 (Официальная сборка), (64 бит)""",,"**Шаги по воспроизведению:**

1. Открыть страницу https://demowebshop.tricentis.com/build-your-own-expensive-computer-2
2. В конфигурации ""HDD"" выбрать 400GB



**ФР: Цена не изменилась**

![](цена до.png){width=70%}![](ццена после.png){width=70%}

**ОР: Цена изменилась**","0"
"G2S-92","Group 2S","Star","Отсутствие идентификатора валюты у товаров","sergey kazakov","4 Nov 2023 16:32","4 Nov 2023 16:32",,"Normal","Bug","Open","Unassigned","Unscheduled","""Windows 11 Домашняя версия 22Н2 Google Chrome Версия 114.0.5735.199 (Официальная сборка), (64 бит)""",,"**Шаги по воспроизведению:**

1. Открыть страницу  https://demowebshop.tricentis.com/

**ФР: Отсутствие идентификатора валюты у товаров**

![](Идентификатор валюты.png){width=70%}

**ОР: Идентификатор валюты ""$"" присутствует**


","0"
